filename,fractal_dimension,entropy,lacunarity,SRE,LRE,RPC,Minor_Axis_Length,Solidity,Integrated_Density,Label
A7.jpg,1.4788585562074266,7.095867882100916,0.0407137082029403,2.04,104.182,43.603,2.572071402098196,0.9252442495220484,188471588.0,1
GBM-12.jpg,1.4983630813923037,5.986686420712864,0.0447427124668582,2.391,42.975,50.451,1.8961896943966847,0.9502619882147832,180870550.0,1
A2.jpg,1.8626341379152829,5.998149212743906,0.0067981283641959,1.964,168.722,39.375,3.5809718335374465,0.8774228261808091,523336552.0,1
GBM.jpg,1.693913076974815,6.134065072845614,0.0702477113870306,2.589,26.38,66.258,3.366112028337655,0.8842119199664585,271469040.0,1
GBM-1.jpg,1.735413041141903,5.996453833204909,0.0762956664350512,2.878,13.841,77.916,3.400451633615627,0.8853764091587507,290552083.0,1
GBM-4.jpg,1.7610095293779553,5.726496718097255,0.0467142661734746,2.82,18.986,68.657,3.6767835243511295,0.8887151553917546,327029346.0,1
GBM-6.jpg,1.763138323570518,6.120180710802148,0.0784847770229241,2.889,14.842,90.605,2.2562388298852083,0.8652865286590854,330116409.0,1
C1.jpg,1.6356663460479148,6.109485917859203,0.0114211888500273,1.788,82.332,39.193,3.608474813209038,0.9051668699257862,292770575.0,1
GBM-13.jpg,1.6691395651319738,6.434508209127575,0.0644453896886933,2.725,18.179,69.995,1.75840624665664,0.926767709197306,181475740.0,1
43-F-GBM.jpg,1.7107480677454008,5.532928529724331,0.0258334141392629,2.49,25.416,55.367,4.656066353350973,0.8838174995030872,264645128.0,1
52-M-GBM.jpg,1.361779605497447,6.424933347249953,0.0478827119446489,1.9,151.813,31.364,2.4395327845689185,0.9550765657410418,143744710.0,1
58-F-GBM.jpg,1.5801515272058917,7.3215557626326495,0.1059053448432763,1.769,79.85,45.657,3.0187223765241518,0.9157451878859674,246932112.0,1
47-M-GBM.jpg,1.5846374629803377,6.121444702228658,0.0287898618522573,1.968,90.922,37.56,2.566842247232058,0.915230983910522,176141201.0,1
35-M-GBM-1.jpg,1.737546051926364,6.628991265439865,0.0200584641663008,2.415,30.193,48.948,3.152250469577884,0.8764062292279365,179753548.0,1
42-M-GBM-4.jpg,1.8238947553269964,7.087537894146566,0.0692229253305987,2.891,13.672,99.172,3.93999397423584,0.8601715452930448,435671810.0,1
65-M-GBM.jpg,1.7108906019203105,7.169572530120165,0.0736870309451359,2.322,41.334,68.146,3.1950834533453207,0.9078423830379,336254955.0,1
GBM-10.jpg,1.7697893075006454,6.42796544898185,0.1086128393963974,3.007,14.523,85.15,3.0928442380509127,0.8608326483268582,299563082.0,1
GBM-7.jpg,1.7308765263844474,6.436527184634784,0.0825878952316911,2.809,15.905,84.588,1.9660648419582536,0.8902221832448326,259684708.0,1
42-M-GBM.jpg,1.6725808957439965,4.646664277698237,0.0223492509177651,2.687,141.457,51.376,3.775175171429663,0.8678366172946349,300047930.0,1
35-M-GBM-2(1).jpg,1.7389158148947663,6.646147331511961,0.0186525795350183,2.365,31.816,44.178,2.965880014790222,0.8843969259897998,180407524.0,1
35-M-GBM-2.jpg,1.7389158148947663,6.646147331511961,0.0186525795350183,2.365,31.816,44.178,2.965880014790222,0.8843969259897998,180407524.0,1
GBM-9.jpg,1.81444690670065,5.90664334661462,0.0290906334924129,2.528,27.321,63.916,3.119515293094593,0.8650993375327313,303439479.0,1
GBM-5.jpg,1.771930964501751,5.886843258641707,0.0363727470328532,2.637,19.062,69.04,2.782918769667801,0.8967593618556693,277585543.0,1
63-F-GBM.jpg,1.6705316746407983,7.055095018513105,0.0503486869754935,2.317,34.435,66.356,2.0658927192088745,0.913664605713704,271869890.0,1
38-M-GBM.jpg,1.7568905251068825,6.057160913583759,0.0089610919916268,1.913,59.746,47.26,3.041412413988221,0.8899670086278013,303000616.0,1
42-M-5.jpg,1.8284256435596948,6.897102703898108,0.0276758932816377,2.314,31.18,70.118,3.268663145451297,0.8791036486595986,349656474.0,1
35-M-GBM-3(1).jpg,1.6512375607012375,5.864613902401383,0.0322876423996063,2.102,57.592,44.853,3.300249182813633,0.9056606090851802,231694875.0,1
